PeakID (cmd=C57_H.p_peaks.bed mm9)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_11660	chr7	24866215	24868198	+	3230.05	NA	5' UTR (NM_001045486, exon 1 of 5)	5' UTR (NM_001045486, exon 1 of 5)	243	NM_001045486	210135	Mm.32254	NM_001045486	ENSMUSG00000057101	Zfp180	2310040I01Rik|AI852378|D130011P11|HHZ168	zinc finger protein 180	protein-coding
MACS_peak_2012	chr11	68875698	68878100	+	3230.05	NA	Intergenic	Intergenic	3622	NM_028005	71923	Mm.340257	NM_028005	ENSMUSG00000045176	2310047M10Rik	-	RIKEN cDNA 2310047M10 gene	protein-coding
MACS_peak_9396	chr4	117222536	117224055	+	3228.29	NA	exon (NM_080469, exon 1 of 9)	exon (NM_080469, exon 1 of 9)	196	NM_080469	140546	Mm.235891	NM_080469	ENSMUSG00000033423	Eri3	PINT1|Prnpip1	exoribonuclease 3	protein-coding
MACS_peak_12	chr1	7077927	7080623	+	3227.04	NA	5' UTR (NM_183028, exon 1 of 6)	5' UTR (NM_183028, exon 1 of 6)	274	NM_183028	319263	Mm.489596	NM_183028	ENSMUSG00000051285	Pcmtd1	8430411F12Rik|A030012M09Rik	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	protein-coding
MACS_peak_2130	chr11	75468486	75470578	+	3226.07	NA	promoter-TSS (NM_001080775)	promoter-TSS (NM_001080775)	15	NM_001080775	17913	Mm.234502	NM_001080774	ENSMUSG00000017774	Myo1c	C80397|MMIb|MYO1E|NMI|mm1beta|myr2	myosin IC	protein-coding
MACS_peak_1130	chr10	67596833	67600080	+	3226.07	NA	intron (NM_023598, intron 4 of 9)	intron (NM_023598, intron 4 of 9)	143018	NM_023598	71371	Mm.490355	NM_023598	ENSMUSG00000019947	Arid5b	4930580B11|5430435G07Rik|AI467247|Desrt|Mrf2|Mrf2alpha|Mrf2beta	AT rich interactive domain 5B (MRF1-like)	protein-coding
MACS_peak_7290	chr2	34725575	34727565	+	3226.07	NA	promoter-TSS (NM_080554)	promoter-TSS (NM_080554)	-88	NM_080554	66998	Mm.270632	NM_080554	ENSMUSG00000026869	Psmd5	1500032A03Rik|AW475925|S5b|W91691|mKIAA0072	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	protein-coding
MACS_peak_4459	chr15	27395443	27398032	+	3225.28	NA	5' UTR (NM_020332, exon 1 of 12)	5' UTR (NM_020332, exon 1 of 12)	305	NM_020332	11732	Mm.265264	NM_020332	ENSMUSG00000022265	Ank	Ankh|D15Ertd221e|ank|mKIAA1581	progressive ankylosis	protein-coding
MACS_peak_7703	chr2	121298750	121300513	+	3225.28	NA	exon (NM_001081975, exon 1 of 7)	exon (NM_001081975, exon 1 of 7)	128	NM_001081975	100034361	Mm.270393	NM_001081975	ENSMUSG00000048222	Mfap1b	-	microfibrillar-associated protein 1B	protein-coding
MACS_peak_11098	chr6	81914807	81916319	+	3224.61	NA	intron (NM_026490, intron 1 of 4)	intron (NM_026490, intron 1 of 4)	380	NM_026490	56284	Mm.276293	NM_026490	ENSMUSG00000030045	Mrpl19	9030416F12Rik|9130412E02Rik|D6Ertd157e|MRP-L15|RLX1|Rpml15	mitochondrial ribosomal protein L19	protein-coding
MACS_peak_10044	chr5	34711627	34714557	+	3222.65	NA	intron (NM_001243123, intron 1 of 20)	CpG-11000	510	NM_001243123	231128	Mm.286885	NM_001030306	ENSMUSG00000037210	Fam193a	-	family with sequence similarity 193, member A	protein-coding
MACS_peak_9058	chr4	43071431	43073548	+	3219.84	NA	intron (NM_001081413, intron 1 of 39)	intron (NM_001081413, intron 1 of 39)	544	NM_021468	22249	Mm.128892	NM_001081413	ENSMUSG00000028456	Unc13b	Munc13-1|Munc13-2|Unc13a|Unc13h1|Unc13h2	unc-13 homolog B (C. elegans)	protein-coding
MACS_peak_3624	chr13	64412486	64414377	+	3219.64	NA	intron (NM_025370, intron 2 of 5)	intron (NM_025370, intron 2 of 5)	587	NM_025370	66129	Mm.227240	NM_025370	ENSMUSG00000021482	1110018J18Rik	AI849003	RIKEN cDNA 1110018J18 gene	protein-coding
MACS_peak_11739	chr7	29096006	29097633	+	3219.44	NA	intron (NM_025616, intron 1 of 10)	CpG	246	NM_025616	66525	Mm.167913	NM_025616	ENSMUSG00000003438	Timm50	2810403L02Rik|AU015082|TIM50L	translocase of inner mitochondrial membrane 50 homolog (yeast)	protein-coding
MACS_peak_1034	chr10	45297359	45298828	+	3218.59	NA	intron (NM_172473, intron 1 of 23)	CpG-1030	458	NM_172473	209462	Mm.458633	NM_172473	ENSMUSG00000038822	Hace1	1700042J16Rik|A730034A22Rik|BC025474	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	protein-coding
MACS_peak_9885	chr5	4191656	4193571	+	3218.44	NA	intron (NM_001042670, intron 1 of 1)	intron (NM_001042670, intron 1 of 1)	246	NM_001042670	208595	Mm.129815	NM_001042670	ENSMUSG00000053178	Gm9897	ENSMUSG00000053178	predicted gene 9897	protein-coding
MACS_peak_13671	chr9	66822242	66823658	+	3217.75	NA	exon (NM_030717, exon 1 of 6)	exon (NM_030717, exon 1 of 6)	341	NM_030717	80907	Mm.157882	NM_030717	ENSMUSG00000032370	Lactb	LACT-1|Lact1|Mrpl56	lactamase, beta	protein-coding
MACS_peak_2174	chr11	77989476	77993051	+	3215.00	NA	Intergenic	Intergenic	-1005	NM_026708	68385	Mm.390375	NM_026708	ENSMUSG00000019437	Tlcd1	0610007A15Rik|0610030G03Rik|AA690150|AU015616	TLC domain containing 1	protein-coding
MACS_peak_7309	chr2	35990940	35993132	+	3212.49	NA	non-coding (NR_027515, exon 1 of 6)	non-coding (NR_027515, exon 1 of 6)	118	NM_026422	67871	Mm.378232	NM_026422	ENSMUSG00000026887	Mrrf	2400002D02Rik|MRFF|MTRRF|RRF	mitochondrial ribosome recycling factor	protein-coding
MACS_peak_5107	chr16	20424123	20426945	+	3212.34	NA	intron (NM_176839, intron 1 of 6)	intron (NM_176839, intron 1 of 6)	933	NM_013790	27416	Mm.20845	NM_013790	ENSMUSG00000022822	Abcc5	2900011L11Rik|AI132311|Abcc5a|Abcc5b|Mrp5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	protein-coding
MACS_peak_8472	chr3	88382886	88384634	+	3212.06	NA	5' UTR (NM_025448, exon 1 of 5)	5' UTR (NM_025448, exon 1 of 5)	167	NM_025448	66256	Mm.7091	NM_025448	ENSMUSG00000041355	Ssr2	1500032E05Rik|AI315033|AU020133|TLAP|TRAPB|TRAPbeta	signal sequence receptor, beta	protein-coding
MACS_peak_12834	chr8	73429145	73431060	+	3211.92	NA	intron (NM_173013, intron 1 of 6)	CpG	229	NM_173013	270058	Mm.248559	NM_173013	ENSMUSG00000019261	Mtap1s	6430517J16Rik|Bpy2ip1|MAP1S|Map8|VCY2IP1	microtubule-associated protein 1S	protein-coding
MACS_peak_12706	chr8	47235818	47238646	+	3210.44	NA	Intergenic	CpG	-17678	NM_025747	66756	Mm.487309	NM_025747	ENSMUSG00000031631	4933411K20Rik	1110068E21Rik|AW049273|Kiaa1430|mKIAA1430	RIKEN cDNA 4933411K20 gene	protein-coding
MACS_peak_9943	chr5	23292995	23294753	+	3210.01	NA	intron (NM_177323, intron 1 of 14)	intron (NM_177323, intron 1 of 14)	312	NM_177323	72772	Mm.133300	NM_177323	ENSMUSG00000028999	Rint1	1500019C06Rik|2810450M21Rik|Rint-1	RAD50 interactor 1	protein-coding
MACS_peak_4626	chr15	75771112	75772572	+	3209.72	NA	intron (NM_030199, intron 1 of 1)	CpG	460	NM_030199	78834	Mm.273264	NM_030199	ENSMUSG00000050846	Zfp623	2610029D06Rik|AI847036	zinc finger protein 623	protein-coding
MACS_peak_10945	chr6	43214777	43216952	+	3208.81	NA	intron (NM_133674, intron 1 of 14)	intron (NM_133674, intron 1 of 14)	221	NM_133674	54324	Mm.320978	NM_133674	ENSMUSG00000033542	Arhgef5	2210412D05Rik|AA717842|AW495314|Tim1	Rho guanine nucleotide exchange factor (GEF) 5	protein-coding
MACS_peak_6044	chr17	78816086	78817991	+	3208.58	NA	intron (NM_199448, intron 1 of 7)	CpG	405	NM_199448	225020	Mm.236835	NM_199448	ENSMUSG00000056121	Fez2	9030616F16|D17Ertd315e	fasciculation and elongation protein zeta 2 (zygin II)	protein-coding
MACS_peak_9411	chr4	118108088	118111056	+	3208.29	NA	exon (NM_023223, exon 1 of 10)	exon (NM_023223, exon 1 of 10)	376	NM_023223	107995	Mm.289747	NM_023223	ENSMUSG00000006398	Cdc20	2310042N09Rik|C87100|p55CDC	cell division cycle 20	protein-coding
MACS_peak_7777	chr2	130099224	130101357	+	3208.05	NA	promoter-TSS (NR_028547)	promoter-TSS (NR_028547)	142	NM_024193	67134	Mm.29363	NM_024193	ENSMUSG00000027405	Nop56	2310044F10Rik|Nol5a	NOP56 ribonucleoprotein homolog (yeast)	protein-coding
MACS_peak_13485	chr9	44541307	44543673	+	3207.73	NA	intron (NM_153537, intron 1 of 21)	CpG	791	NM_153537	102693	Mm.28639	NM_153537	ENSMUSG00000048537	Phldb1	AU041016|D330037A14Rik|Ll5a	pleckstrin homology-like domain, family B, member 1	protein-coding
MACS_peak_6107	chr17	88996228	88997970	+	3207.62	NA	Intergenic	Intergenic	-28796	NM_029858	77057	Mm.482203	NM_029858	ENSMUSG00000033855	Ston1	4921524J06Rik|C86231|Salf|Sblf	stonin 1	protein-coding
MACS_peak_2168	chr11	77850865	77852680	+	3207.21	NA	TTS (NM_183286)	TTS (NM_183286)	329	NM_008028	14252	Mm.130227	NM_001040403	ENSMUSG00000061981	Flot2	AI573412|Esa|reggie-2	flotillin 2	protein-coding
MACS_peak_10369	chr5	111845226	111848103	+	3207.13	NA	promoter-TSS (NM_001081235)	promoter-TSS (NM_001081235)	-522	NM_001081235	433938	Mm.332576	NM_001081235	ENSMUSG00000070576	Mn1	AA003644|AA009236	meningioma 1	protein-coding
MACS_peak_6670	chr19	8809602	8811273	+	3205.50	NA	intron (NM_134139, intron 1 of 10)	CpG	108	NM_134139	107071	Mm.29627	NM_134139	ENSMUSG00000042729	Wdr74	5730436H21Rik|AA407588	WD repeat domain 74	protein-coding
MACS_peak_11149	chr6	86387561	86389779	+	3203.93	NA	promoter-TSS (NM_001243742)	promoter-TSS (NM_001243742)	30	NM_001243741	232196	Mm.482326	NR_027369	ENSMUSG00000046679	C87436	-	expressed sequence C87436	protein-coding
MACS_peak_5522	chr17	21145467	21147203	+	3202.78	NA	intron (NM_145483, intron 1 of 4)	intron (NM_145483, intron 1 of 4)	430	NM_145483	224585	Mm.485670	NM_145483	ENSMUSG00000067942	Zfp160	6720480D16Rik|F11|HKr18|HZF5|KR18|mKIAA1611|mszf47	zinc finger protein 160	protein-coding
MACS_peak_1700	chr11	22881145	22883030	+	3201.73	NA	exon (NM_144514, exon 1 of 3)	exon (NM_144514, exon 1 of 3)	197	NM_144514	17846	Mm.451238	NM_144514	ENSMUSG00000051355	Commd1	AI256843|Murr1|U2/Mu	COMM domain containing 1	protein-coding
MACS_peak_11361	chr6	124611892	124614101	+	3200.82	NA	promoter-TSS (NM_145130)	promoter-TSS (NM_145130)	-126	NM_145130	14792	Mm.273915	NM_145130	ENSMUSG00000004270	Lpcat3	C3f|Grcc3f|Lpcat|Lpeat|Lplat5|Lpsat|Mboat5|Moact5|Oact5|PTG	lysophosphatidylcholine acyltransferase 3	protein-coding
MACS_peak_13349	chr9	21527312	21529658	+	3200.49	NA	intron (NM_001252659, intron 1 of 17)	intron (NM_001252659, intron 1 of 17)	465	NM_010700	16835	Mm.3213	NM_001252658	ENSMUSG00000032193	Ldlr	Hlb301	low density lipoprotein receptor	protein-coding
MACS_peak_9397	chr4	117353800	117355301	+	3200.10	NA	5' UTR (NM_023178, exon 2 of 11)	5' UTR (NM_023178, exon 2 of 11)	280	NM_023178	66233	Mm.29142	NM_023178	ENSMUSG00000009640	Dmap1	1500016M21Rik|DNMAP1|DNMTAP1|Dmtap1|mKIAA1425	DNA methyltransferase 1-associated protein 1	protein-coding
MACS_peak_3115	chr12	93086493	93087976	+	3198.40	NA	intron (NM_001039089, intron 1 of 20)	intron (NM_001039089, intron 1 of 20)	363	NM_001039089	20338	Mm.250605	NM_001039089	ENSMUSG00000020964	Sel1l	AW493766|Sel1h|mKIAA4137	sel-1 suppressor of lin-12-like (C. elegans)	protein-coding
MACS_peak_4347	chr14	102127969	102130155	+	3194.83	NA	promoter-TSS (NM_201529)	promoter-TSS (NM_201529)	-83	NM_201529	380928	Mm.486662	NM_201529	ENSMUSG00000033060	Lmo7	C78582|FBXO20|Gm914|mKIAA0858	LIM domain only 7	protein-coding
MACS_peak_5788	chr17	35088003	35090203	+	3194.78	NA	non-coding (NR_015536, exon 2 of 4)	non-coding (NR_015536, exon 2 of 4)	310	NR_027943	68763	Mm.28895	NR_015536		1110038B12Rik	0610009C20Rik|0910001G04Rik	RIKEN cDNA 1110038B12 gene	miscRNA
MACS_peak_14224	chrX	50722305	50724071	+	3193.13	NA	intron (NM_027409, intron 1 of 5)	intron (NM_027409, intron 1 of 5)	481	NM_027409	70380	Mm.28236	NM_027409	ENSMUSG00000023074	Mospd1	1810018L05Rik	motile sperm domain containing 1	protein-coding
MACS_peak_2265	chr11	86620063	86621713	+	3191.39	NA	intron (NM_026191, intron 1 of 17)	CpG	274	NM_026191	67487	Mm.260627	NM_026191	ENSMUSG00000018425	Dhx40	2410016C14Rik|ARG147|DDX40|PAD	DEAH (Asp-Glu-Ala-His) box polypeptide 40	protein-coding
MACS_peak_5064	chr16	17110336	17111799	+	3190.63	NA	intron (NM_001252444, intron 1 of 20)	CpG	278	NM_001252445	66053	Mm.489721	NM_001252444	ENSMUSG00000022771	Ppil2	0610009L05Rik|1700016N17Rik|4921520K19Rik|4930511F14Rik|AA589416|C130078A06Rik	peptidylprolyl isomerase (cyclophilin)-like 2	protein-coding
MACS_peak_3770	chr13	97157472	97159577	+	3189.72	NA	intron (NM_026173, intron 1 of 12)	intron (NM_026173, intron 1 of 12)	275	NM_026173	67463	Mm.86472	NM_026173	ENSMUSG00000021671	Poc5	1200014M14Rik|AV144706	POC5 centriolar protein homolog (Chlamydomonas)	protein-coding
MACS_peak_7715	chr2	122193352	122195635	+	3188.97	NA	5' UTR (NM_001013829, exon 1 of 6)	5' UTR (NM_001013829, exon 1 of 6)	161	NM_001013829	435684	Mm.458215	NM_001013829	ENSMUSG00000033256	Shf	-	Src homology 2 domain containing F	protein-coding
MACS_peak_1278	chr10	80567774	80569709	+	3188.11	NA	promoter-TSS (NM_023138)	promoter-TSS (NM_023138)	49	NM_023138	26396	Mm.275436	NM_023138	ENSMUSG00000035027	Map2k2	AA589381|MEK2|MK2|Prkmk2	mitogen-activated protein kinase kinase 2	protein-coding
MACS_peak_11380	chr6	125081129	125083047	+	3187.67	NA	intron (NM_138747, intron 1 of 15)	CpG	187	NM_138747	110109	Mm.29203	NM_138747	ENSMUSG00000038279	Nop2	120kDa|A530002O17|Nol1	NOP2 nucleolar protein homolog (yeast)	protein-coding
MACS_peak_4794	chr15	85565149	85567484	+	3186.34	NA	5' UTR (NM_011144, exon 1 of 8)	5' UTR (NM_011144, exon 1 of 8)	110	NM_011144	19013	Mm.212789	NM_001113418	ENSMUSG00000022383	Ppara	4933429D07Rik|AW742785|Nr1c1|PPAR-alpha|PPARalpha|Ppar	peroxisome proliferator activated receptor alpha	protein-coding
MACS_peak_7612	chr2	112218876	112220881	+	3185.12	NA	intron (NM_024254, intron 1 of 9)	intron (NM_024254, intron 1 of 9)	510	NM_024254	72425	Mm.425091	NM_024254	ENSMUSG00000027132	2410042D21Rik	AA166487|AA473307|AI467442	RIKEN cDNA 2410042D21 gene	protein-coding
MACS_peak_10768	chr5	151395529	151397809	+	3184.30	NA	intron (NM_133898, intron 1 of 4)	CpG	431	NM_133898	100637	Mm.279932	NM_133898	ENSMUSG00000041132	N4bp2l1	2410024N18Rik|AI428195|B230342M21Rik	NEDD4 binding protein 2-like 1	protein-coding
MACS_peak_12140	chr7	105456890	105458766	+	3183.72	NA	intron (NM_025408, intron 1 of 10)	CpG	209	NM_025408	66190	Mm.334041	NM_025408	ENSMUSG00000030760	Acer3	1110057L18Rik|5430429L08Rik|AV015045|Phca	alkaline ceramidase 3	protein-coding
MACS_peak_12907	chr8	85296802	85298790	+	3183.18	NA	intron (NM_145600, intron 1 of 9)	intron (NM_145600, intron 1 of 9)	229	NM_145600	30932	Mm.269248	NM_145600	ENSMUSG00000031711	Zfp330	BC008086|Noa36|Znf330	zinc finger protein 330	protein-coding
MACS_peak_13697	chr9	72122193	72124742	+	3181.94	NA	intron (NM_146224, intron 1 of 21)	intron (NM_146224, intron 1 of 21)	761	NM_146224	235469	Mm.242791	NM_146224	ENSMUSG00000038535	Zfp280d	A930005F02Rik|BC027163|Suhw4|ZNF634|Znf280d	zinc finger protein 280D	protein-coding
MACS_peak_4981	chr16	4418664	4420911	+	3181.69	NA	promoter-TSS (NM_009624)	promoter-TSS (NM_009624)	-200	NM_009624	11515	Mm.482493	NM_009624	ENSMUSG00000005580	Adcy9	ACtp10|AW125421|D16Wsu65e|mKIAA0520	adenylate cyclase 9	protein-coding
MACS_peak_6360	chr18	50212346	50214909	+	3180.08	NA	intron (NM_134131, intron 1 of 1)	intron (NM_134131, intron 1 of 1)	691	NM_134131	106869	Mm.27740	NM_001177759	ENSMUSG00000062210	Tnfaip8	AA987150|E130304C20Rik|ENSMUSG00000073567|Gg2-1|Gm10539|Nded|Ssc-2	tumor necrosis factor, alpha-induced protein 8	protein-coding
MACS_peak_7986	chr2	158492531	158494987	+	3179.79	NA	intron (NM_001159662, intron 1 of 10)	CpG	888	NM_001159662	228852	Mm.485085	NM_001159662	ENSMUSG00000037754	Ppp1r16b	ANKRD4|C130078N17Rik|TIMAP|Wdt4	protein phosphatase 1, regulatory (inhibitor) subunit 16B	protein-coding
MACS_peak_1382	chr10	93051121	93053095	+	3179.15	NA	promoter-TSS (NR_045810)	promoter-TSS (NR_045810)	-50	NR_045810	74454	Mm.410794	NR_045810		4933408J17Rik	-	RIKEN cDNA 4933408J17 gene	miscRNA
MACS_peak_10370	chr5	112704767	112707291	+	3177.21	NA	intron (NM_009419, intron 1 of 6)	CpG	302	NM_009419	22022	Mm.250631	NM_009419	ENSMUSG00000029344	Tpst2	AI448750|D5Ucla3|grm|grt	protein-tyrosine sulfotransferase 2	protein-coding
MACS_peak_7866	chr2	148556901	148558542	+	3177.10	NA	intron (NM_019632, intron 1 of 10)	intron (NM_019632, intron 1 of 10)	435	NM_019632	17957	Mm.391579	NM_019632	ENSMUSG00000027438	Napb	Brp14|E161|I47|SNARE|b-SNAP	N-ethylmaleimide sensitive fusion protein attachment protein beta	protein-coding
MACS_peak_7920	chr2	153457510	153459142	+	3176.43	NA	intron (NM_001195390, intron 1 of 9)	CpG	191	NM_001195390	99311	Mm.294478	NM_001195390	ENSMUSG00000056941	Commd7	2310010I22Rik|AW060956|mU3	COMM domain containing 7	protein-coding
MACS_peak_10787	chr6	5246924	5248895	+	3176.29	NA	intron (NM_183308, intron 1 of 8)	intron (NM_183308, intron 1 of 8)	464	NM_183308	330260	Mm.460999	NM_183308	ENSMUSG00000032667	Pon2	6330405I24Rik|AI481612	paraoxonase 2	protein-coding
MACS_peak_10116	chr5	53173451	53175428	+	3176.29	NA	exon (NM_030185, exon 1 of 12)	exon (NM_030185, exon 1 of 12)	133	NM_030185	78796	Mm.266886	NM_030185	ENSMUSG00000029179	Zcchc4	4930449I23Rik	zinc finger, CCHC domain containing 4	protein-coding
MACS_peak_11592	chr7	16683597	16685337	+	3175.99	NA	intron (NM_025898, intron 1 of 10)	intron (NM_025898, intron 1 of 10)	475	NM_025898	108124	Mm.431371	NM_025898	ENSMUSG00000006024	Napa	1500039N14Rik|AW209189|RA81|SNAPA|SNARE|a-SNAP|hyh	N-ethylmaleimide sensitive fusion protein attachment protein alpha	protein-coding
MACS_peak_13829	chr9	96917156	96919632	+	3175.26	NA	intron (NM_145134, intron 1 of 2)	MIRb|SINE|MIR	380	NM_145134	211949	Mm.367813	NM_145134	ENSMUSG00000046997	Spsb4	D030068E18Rik|SSB-4|Ssb4	splA/ryanodine receptor domain and SOCS box containing 4	protein-coding
MACS_peak_4269	chr14	70552394	70554272	+	3175.05	NA	TTS (NM_001112735)	TTS (NM_001112735)	265	NM_146055	219158	Mm.218284	NM_146055	ENSMUSG00000033712	2610301G19Rik	mKIAA1967	RIKEN cDNA 2610301G19 gene	protein-coding
MACS_peak_9631	chr4	134486129	134487933	+	3173.80	NA	intron (NM_026780, intron 1 of 6)	CpG	136	NM_026780	68592	Mm.29989	NM_026780	ENSMUSG00000028821	Syf2	1110018L13Rik|Cbpin|D4Bwg1551e|Gcipip|Ntc31|mp29|p29	SYF2 homolog, RNA splicing factor (S. cerevisiae)	protein-coding
MACS_peak_2087	chr11	72027671	72029543	+	3173.74	NA	promoter-TSS (NM_001163728)	promoter-TSS (NM_001163728)	-33	NM_001163728	75304	Mm.484029	NM_001163728		4930563E22Rik	-	RIKEN cDNA 4930563E22 gene	protein-coding
MACS_peak_3192	chr12	111684075	111686392	+	3173.17	NA	promoter-TSS (NM_001135001)	promoter-TSS (NM_001135001)	-156	NM_001135001	26931	Mm.490988	NM_001037934	ENSMUSG00000017843	Ppp2r5c	2610043M05Rik|2700063L20Rik|AI060890|AW545884|C85228|D12Bwg0916e|mKIAA0044	protein phosphatase 2, regulatory subunit B (B56), gamma isoform	protein-coding
MACS_peak_12808	chr8	72875594	72877984	+	3172.86	NA	exon (NM_030680, exon 1 of 24)	exon (NM_030680, exon 1 of 24)	383	NM_030680	19704	Mm.390048	NM_001122829	ENSMUSG00000058301	Upf1	B430202H16Rik|NORF1|PNORF-1|Rent1|Upflp	UPF1 regulator of nonsense transcripts homolog (yeast)	protein-coding
MACS_peak_5919	chr17	49567338	49568874	+	3172.03	NA	intron (NM_020042, intron 1 of 10)	intron (NM_020042, intron 1 of 10)	417	NM_020042	56738	Mm.22256	NM_020042	ENSMUSG00000064120	Mocs1	3110045D15Rik|AI043170|AW536397	molybdenum cofactor synthesis 1	protein-coding
MACS_peak_8044	chr2	166618693	166620330	+	3171.12	NA	exon (NM_023815, exon 1 of 2)	exon (NM_023815, exon 1 of 2)	244	NM_023815	76367	Mm.330796	NM_023815	ENSMUSG00000042854	Trp53rk	2810408M09Rik|4933401B08Rik|5630401H01Rik|Nori-2|PRPK|Tp53rk|Trp53tk|mNori-2p	transformation related protein 53 regulating kinase	protein-coding
MACS_peak_9415	chr4	118845312	118847201	+	3170.62	NA	5' UTR (NM_183140, exon 1 of 2)	5' UTR (NM_183140, exon 1 of 2)	205	NM_183140	195522	Mm.169620	NM_001145935	ENSMUSG00000045268	Zfp691	6430544H17Rik|Znf691	zinc finger protein 691	protein-coding
MACS_peak_1006	chr10	41606754	41609262	+	3170.37	NA	intron (NM_001013370, intron 1 of 9)	intron (NM_001013370, intron 1 of 9)	763	NM_001013370	140742	Mm.139418	NM_001013370	ENSMUSG00000038332	Sesn1	1110002G11Rik|AU044290|Pa26|Sest1	sestrin 1	protein-coding
MACS_peak_13214	chr8	125073197	125075946	+	3167.77	NA	intron (NM_001037298, intron 1 of 50)	intron (NM_001037298, intron 1 of 50)	658	NM_001037298	234839	Mm.490358	NM_001037298	ENSMUSG00000014444	Fam38a	9630020g22|mKIAA0233	family with sequence similarity 38, member A	protein-coding
MACS_peak_688	chr1	173217065	173218433	+	3167.20	NA	TTS (NM_025388)	TTS (NM_025388)	343	NM_013919	30941	Mm.27510	NM_013919	ENSMUSG00000053483	Usp21	ESTM28|Usp16|Usp23|W53272	ubiquitin specific peptidase 21	protein-coding
MACS_peak_7198	chr2	29978698	29980786	+	3165.74	NA	intron (NM_178694, intron 1 of 15)	intron (NM_178694, intron 1 of 15)	232	NM_178694	227693	Mm.488942	NM_178694	ENSMUSG00000039686	Zer1	C230075L19Rik|Zyg11bl	zer-1 homolog (C. elegans)	protein-coding
MACS_peak_3614	chr13	63531717	63533780	+	3165.46	NA	intron (NM_001042673, intron 1 of 15)	(CCCCG)n|Simple_repeat|Simple_repeat	305	NM_007985	14088	Mm.126106	NM_001042673	ENSMUSG00000021461	Fancc	BB116513|Facc	Fanconi anemia, complementation group C	protein-coding
